Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020
INDICADORES DE VALUATION,D.Y,"28,55%","22,54%","0,68%",-%,-%
INDICADORES DE VALUATION,P/L,"5,87","6,56","5,51",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,01","0,01",-,-,-
INDICADORES DE VALUATION,P/VP,"0,85","0,95","0,97",-,-
INDICADORES DE VALUATION,EV/EBITDA,"6,48","7,16","8,81",-,-
INDICADORES DE VALUATION,EV/EBIT,"9,11","10,06","12,49",-,-
INDICADORES DE VALUATION,P/EBITDA,"5,83","6,51","7,47",-,-
INDICADORES DE VALUATION,P/EBIT,"8,20","9,16","10,59",-,-
INDICADORES DE VALUATION,VPA,"13,96","13,96","15,25",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,38","0,43","0,46",-,-
INDICADORES DE VALUATION,LPA,"2,03","2,03","2,67",-,-
INDICADORES DE VALUATION,P/SR,"2,00","2,23","2,67",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,20","3,58","7,12",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,51","-0,57","-0,57",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,09","0,09","0,17","0,68","0,68"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"0,64","0,64","1,34","2,68","1,84"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"0,90","0,90","1,90","5,27","2,90"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,45","0,45","0,47","0,23","0,21"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,55","0,55","0,53","0,54","0,55"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,92","1,92","1,49","1,47","1,21"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"21,10%","21,10%","20,72%","23,35%","38,98%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"34,26%","34,26%","35,74%","43,33%","62,66%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"24,36%","24,36%","25,22%","22,02%","39,62%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"34,01%","34,01%","48,49%","2,24%","27,08%"
INDICADORES DE RENTABILIDADE,ROE,"14,52%","14,52%","17,53%","1,32%","16,11%"
INDICADORES DE RENTABILIDADE,ROA,"6,50%","6,50%","8,28%","0,30%","3,39%"
INDICADORES DE RENTABILIDADE,ROIC,"0,61%","0,61%","4,81%","2,16%","-4,54%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,19","0,19","0,17","0,13","0,13"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%
